GRB_id,logTa_best,logTa_min,logTa_max,logTt,logTfinal,alpha_best,alpha_min,alpha_max,logFa,logFa_min,logFa_max
GRB091127,3.984668123,3.962732917,4.00660333,2,6.5,1.395817008,1.382229699,1.409404317,-9.845087061,-9.863649576,-9.826524545
GRB091208B,3.313880941,3.260952765,3.366809118,2,6,1.160654102,1.130151648,1.191156556,-10.18031025,-10.21711667,-10.14350384
GRB100219A,4.721899099,4.618125636,4.825672562,2.9,5.2,3.692984743,2.962131341,4.423838146,-12.13530676,-12.46170239,-11.80891114
GRB100316B,3.554376695,3.347027934,3.761725455,2.2,6,1.362460631,1.229239671,1.495681591,-11.14843575,-11.25274817,-11.04412333
GRB100418A,5.54363,5.47702,5.62797,3,6.5,1.81145,1.63793,1.97365,-12.4879,-12.5799,-12.365
GRB100425A,3.601994145,3.486868609,3.717119681,2.5,6,0.86819371,0.813116815,0.923270604,-11.50116648,-11.57202554,-11.43030741
GRB100513A,3.745229112,3.616612494,3.873845729,3,6,0.963061356,0.90149192,1.024630793,-11.57203392,-11.67021081,-11.47385703
GRB100621A,3.641643859,3.581188784,3.702098934,2.6,6.3,0.940793212,0.916615947,0.964970477,-9.803161737,-9.844444214,-9.761879261
GRB100625A,2.438622571,2.199208507,2.678036635,1.9,4.3,1.846579684,1.603598183,2.089561185,-10.87971113,-11.2413526,-10.51806966
GRB100704A,3.625034952,3.57139558,3.678674325,2.8,6.3,1.012942109,0.994802149,1.031082068,-10.35197547,-10.39960993,-10.30434101
GRB100724A,2.865025016,2.696096259,3.033953773,2,6,1.112376912,1.047374043,1.17737978,-10.67686549,-10.82429366,-10.52943732
GRB100728A,4.031486055,3.977723571,4.085248539,3.8,6,1.558814298,1.524548502,1.593080094,-10.17610694,-10.25218204,-10.10003184
GRB100814A,5.227294768,5.191947631,5.262641906,2.8,6,1.765329405,1.681314236,1.849344573,-11.49332637,-11.53695273,-11.44970001
GRB100816A,3.978012985,3.865998981,4.09002699,2.8,6,1.044550126,0.997374972,1.09172528,-11.55672426,-11.64347348,-11.46997504
GRB100901A,4.91124,4.89036,4.93886,3,6.3,1.50754,1.47701,1.54952,-11.3406,-11.3651,-11.3085
